,0
item2,1.806560825416702e-97
item1,1.599957017554556e-87
make4,5.986138082945069e-18
item4,5.601667812232787e-17
item3,6.973456953007446e-11
item17,8.679511584563177e-10
item8,6.204105447622792e-08
make1,8.692696207997921e-08
make7,1.3002265315688085e-06
item10,1.5546687035846145e-06
make11,2.0761956048860094e-06
make6,4.70900048851756e-06
make17,2.669633995719576e-05
make13,3.862819186660431e-05
make3,0.00010134163155210577
model1,0.0004451557363343404
make18,0.0010030649930773338
item16,0.0011504133651240019
make12,0.0012830705445924348
make23,0.001894236186232882
item13,0.013035360792272428
item18,0.03208067843594585
goods_code12,0.04651073929768161
goods_code10,0.0571809130491566
make22,0.08899203146133433
make21,0.11891471902883594
goods_code7,0.12468872015456248
item15,0.14261307610635082
item14,0.15138678041851406
goods_code13,0.17763662669950284
goods_code4,0.1855364343353032
goods_code18,0.2024077256422453
goods_code15,0.2093135194293098
model2,0.22100606706745538
goods_code17,0.2225766448211252
goods_code9,0.23379678000483867
make9,0.2410914166276751
goods_code21,0.2647100811943396
item23,0.26993655534172045
item6,0.27274182027611354
goods_code16,0.27630150325707725
goods_code23,0.2814898743560321
make2,0.28370813968858805
make14,0.4549918011332891
item24,0.45967145813349164
make8,0.4754706489803418
make16,0.4855109691804482
item9,0.5087216867756476
goods_code11,0.5964805410488576
goods_code8,0.5977088174227941
item5,0.6521504382419412
make15,0.6681246063045905
goods_code6,0.6816585688154164
make10,0.7008434071834188
item21,0.8159478396830442
item22,0.884119558625863
goods_code2,0.9211106636730636
goods_code5,0.9360106801436473
goods_code20,0.9399140448761241
item20,0.9435175218833531
goods_code19,0.9443358630315076
goods_code14,0.9467429123141071
make19,0.9821850250056168
goods_code22,0.985790531052576
item19,0.9901919850888374
item11,0.9919445474139381
item12,0.994840196831252
model24,0.995985016680691
goods_code24,0.995985016680691
goods_code3,0.9991961867690414
model3,0.9998752223078088
goods_code1,0.9999149043701882
model4,0.9999999573082471
make24,0.9999999695152102
model22,0.9999999932023048
model23,0.9999999972149566
item7,0.999999999242599
make20,0.9999999998548473
model19,0.9999999999557551
model13,0.9999999999989572
model16,0.999999999999497
model20,0.9999999999999675
model15,0.9999999999999971
model10,0.9999999999999994
model9,0.9999999999999994
model21,0.9999999999999997
model12,0.9999999999999998
make5,0.9999999999999999
model14,1.0
model11,1.0
model7,1.0
model8,1.0
model5,1.0
model6,1.0
model17,1.0
model18,1.0
